query_id	query
103	which article includes a review of the practice of civil rights commissioners regarding resignation from a new or resigned government?
104	what is the eic
105	egf amount
106	what is ancr
107	how do you report total compensation
108	what is the statutes and regulations applicable to the award?
109	when was the european globalisation adjustment fund mobilised
110	eit grant for business kic
111	what is the drug free workplace act of 1988?
112	what is the objective of scanning
113	can a staff member reject an email
114	what is the award document for law enforcement
115	when qualified health personnel are not immediately available, an inmate must be placed in a _______ position until evaluated by qualified health personnel.
116	when was decision 2015/2248
117	what information is required for a public sex offender registry?
118	what is the sam database
119	tce irs phone number
120	why is the cops office conducting site visits
121	what is ownership manual equipment in cops office
122	what is the purpose of a site visit
123	which fbi pick up notices are needed for arrest of florida police officers?
124	what is the monetary envelope for a european cultural heritage year
125	what role does EU play in ipbes
126	who is the addie model
127	why is the eit necessary
128	what is the copyright for the us department of justice publication
129	us department of justice federal bureau of prisons program number
130	what federal agencies are cognizant
131	what is the application of the anti nepotism statute to presidential appointments?
132	what frequency does terrestrial wireless use
133	when do you have to sign the award document
134	what is the primary responsibility of the coordinator and treatment specialist
135	do you need to agree to cops part 23
136	who is employer
137	what statute provides a standing rule on powers that may be performed by an attorney general
138	what frequency range for terrestrial wireless broadband services
139	what happens if the cops office determines that the request does not meet the standards set forth above?
140	which condition is characterized by the debarment and suspension of federal assistance programs
141	can a officer use a chp grant to rehire
142	what are computing devices
143	cops office telephone number
144	community partnerships definition
145	what is the european solidarity fund
146	when do you need to electronically sign an award
147	ovw meals
148	what are allowable cost
149	when does european parliament decision enter into force
150	when does the european decision enter into force
151	department of justice cpd/csb number
152	which executive order does the president have to direct the independent agencies to comply with
153	when is the european cultural heritage year
154	what is the year of cultural heritage
155	when did the european parliament declare the eu year of cultural heritage
156	saa training for discrimination
157	what is the contribution of cultural heritage
158	why is cultural heritage important
159	what is cultural heritage
160	cpd modification condition
161	what is the purpose of a saa audit
162	what is the law governing the authority of police officers in florida
163	why is it called the european year of cultural heritage
164	what is mandatory reporting in prison
165	what is the purpose of the eu year
166	why is it called european heritage year
167	what is fsrs
168	eu year goals and objectives
169	when will the decision be published in the eu
170	when must you report a subaward
171	what agency must determine how to ensure the safety of an inmate
172	internal revenue service memo number for 2012
173	what are the objectives of the european year
174	what is required to be included in the award documents for all subawards
175	when prior approval is required by applicable cost principles, the approval authority will be vested in the recipient.
176	why does cops not include part 23 in award
177	what is the purpose of the european year
178	which article refers to the purpose of the eu year?
179	where do ancrs originate
180	when will the decision of the European Parliament enter into force
181	which eu decision did the european parliament
182	why do federal agencies require subrecipients to comply with all contract provisions?
183	when is local budget cycle
184	who is the president of the eu
185	who is president at the eu parliament
186	what should be included with a notice of appeal?
187	what is the purpose of the decision 2017/684/eu?
188	what is the eu decision on energy
189	which eu decision establishes an information exchange mechanism
190	globalisation adjustment fund decision
191	what are reasonable accommodations for disability?
192	types of escorted trips
193	what is the state information technology point of contact
194	what is ada website accessibility
195	what is the intergovernmental agreement
196	what is your credit score
197	when mitigation provisions are required
198	should the Commission be responsible for ensuring the application of the confidentiality clause
199	why is the commission responsible for the application of the confidentiality clause
200	is the european commission responsible for the confidentiality clauses?
201	europe solidarity fund
202	when does the european commission decision enter force
203	what branch is ordinarily in a position to protect both the govern­ment and the citizenry from unconstitutional action, legislative and executive? quizlet
204	who needs online access to complete program progress report
205	when are notification obligations with respect to intergovernmental agreements
206	what is retention of benefits for jobs
207	when does eu publish decision
208	when the Commission is deemed not to have any doubts
209	where the commission informs the member states concerned pursuant to paragraph 1, the member state concerned shall be deemed not to have any doubts.
210	where is the juvenile study conducted
211	what to include on the panel report
212	intergovernmental agreements relating to electricity
213	what is community policing
214	which article of the single convention requires the private traders to purchase crops?
215	which information does the commission have to make a request for confidential information
216	can the Commission have access to confidential information
217	what are the conditions under the consolidated appropriations act
218	when can i revise my final cost report
219	which regulation requires protection of individually identifiable information from research participants??
220	who are the finance staff for cops office
221	european globalisation adjustment fund
222	how much is the globalisation adjustment fund
223	which government department has rescinded guidance and associated documents
224	what effect would vesting of government owned assets have on pending litigation
225	what decision is contingency margin
226	when is eu decision on mobilising contingency?
227	when will the decision be published in the oj
228	when does eu decision enter into force
229	what are the standards of adult local detention facility
230	european commission egf 2017/341
231	cops office response phone number
232	difference between independent counsel and qui tam provision
233	when are cops reports to be submitted
234	cops office communications phone number
235	what is the basis for determining outstanding gift cards
236	when was the eu's decision on the general budget passed
237	when did the eu take decision on solidarity
238	what does law enforcement do in schools
239	who is the trgp recipient of cops office
240	what level of treatment is mental health treatment
241	which tax law requires an employee to recognize income on the date of exercise of a nonstatutory stock option?
242	does customs get proceeds from seized property
243	what is the eu decision on the contingency margin
244	which year is the europe capital of culture
245	what is the long term vision of the european union?
246	who has the authority to apply for federal assistance
247	why do federal agencies require civil rights
248	eu regulation of the european parliament
249	euratom 2013 regulation
250	how to properly monitor trgp funded programs
251	what was the decision eu 2017/340
252	what roles must be included in a mou?
253	is a nol considered taxable income
254	what is the economic policy and development of the hashemite kingdom of jordan
255	duns federal number
256	what is the cops office anti heroin task force
257	why does the u.s. government seize passports of individuals found to be importing controlled substances
258	when do the agencies draw down award funds
259	internal revenue service memo number
260	what does an employee do for an employer
261	what is unique entity identifier
262	what is the goals and expectations for a facility audit
263	how can i file a complaint of discrimination at school
264	who provides copies of irs decision to authorized representative
265	when is the due date for sf 425
266	what is financial assistance subject to
267	why are awards audited by the oig
268	sexually dangerous person definition
269	conditions for macro finance jordan
270	conditions of macrofinancial assistance
271	what is the precondition for granting jordan macro financial assistance?
272	how long do auditors have to work before an audit
273	who is the employer
274	what are the objectives of problem solving
275	what is reduction in force review
276	what are additional requirements for award
277	which federal regulation is relied on for a reduction in sentence?
278	cops agency number
279	notice of appeal
280	what is the date of the european globalisation adjustment fund decision
281	when will the european union decision enter into force
282	when does the europe decision come into force?
283	cops reporting phone number
284	when will you submit the provisional indirect cost rate to cops office
285	tribal offender registration code
286	irs memo release date
287	when does the decision of the eu enter into force?
288	when does the european decision become effective in the european union
289	when does the european union start putting decisions into force
290	what to do if you require reprogramming of award funds
291	who are the community corrections officers responsible for determining the appropriate response to solicitations requests from prospective offerors
292	when will the european globalisation adjustment fund be mobilised?
293	when was globalisation adjustment fund a decision
294	what is the condition of a cops award
295	when did the president appear as a character witness?
296	when does european decision enter into force?
297	when does the brussels decision come into force
298	european budgetary decision 2014/697/
299	when do you have to report subaward information
300	how is competition determined
301	what is the purpose of the eu solidarity fund?
302	what is allocation policy
303	what is the statutory nonsupplanting requirement of the cops
304	what is competition determined inadequate
305	how do we file a program progress report
306	who was the decision of the european parliament of july 2016 on globalisation
307	who may change the method used by corporation x to account for attorney fees?
308	why is redundancy admissible in belgium
309	how long to submit a conference and event
310	how long to submit a conference submission
311	which executive sign tribal award documents
312	when does the european union enter into force?
313	when did the european decision to enter into force
314	how far in advance should i submit a request for conference
315	what was the purpose of the bea payments?
316	when is the european globalisation adjustment fund mobilisation date
317	what is the egf 2016/000 ta 2016
318	who is required to refer discrimination complaints to a subrecipient
319	eu decision regarding undeclared work
320	what is the eu platform for undeclared work
321	undeclared work definition
322	undeclared work define
323	what is the reason for an encumbrance for inmate funds
324	what regulations govern the safeguarding of information collected from researchers
325	what should the platform of action include
326	why does community policing have a role in policing
327	when is inmate released from custody
328	what is reasonable allowance for the exhaustion and wear and tear of property used in a trade or business?
329	which article allows parties to depart from specific controls mandated only where the alternatives are plainly more strict or severe?
330	which section allows epa to assess administrative penalties against a federal agency?
331	who should be hired for disciplinary transfers
332	how to report total compensation of executive
333	what is a cops grant program specialist
334	how to calculate program income on sf 425
335	when does camp award need to be signed
336	are anda capitalized
337	what is the useful life for a baseball contract
338	when does the decision enter into force
339	what is the procedure for the adoption of the memorandum of understanding
340	when was internal revenue service memo released
341	when was the eu decision on the mobilization of the flexibility instrument for immediate budgetary measures?
342	which decision of european parliament to provide financial assistance to georgia
343	which type of expenses is not readily attributable to the cost objectives that are being benefited?
344	what is duns number
345	how much of the euro will be mobilised under the flexibility instrument
346	when was the eu solidarity fund decision issued ?
347	cops usdoj telephone number for reporting
348	which document is typically used to commit prisoners to bureau facilities quizlet
349	treasury regulation definition related persons for fair market value
350	when will the globalization adjustment fund be mobilised
351	when should egf be mobilised
352	can a condition of an award be found unenforceable
353	ethanol production capacity limit
354	internal revenue service memo release number
355	internal revenue service irs memo number
356	when will the european globalisation adjustment fund be mobilised
357	what is the payment system for grants
358	how to log in to cops office
359	egf decision for 2018
360	what is the definition of inspector general
361	who is prohibited from discharging a tribal resource grant
362	european decision 2015/2458
363	what is cops office training
364	cops office grant phone number
365	what is pat down search mental health
366	what is the purpose of the ehealth network in health care
367	when closing agreement is taxable
368	does cops grant grant need to be approved
369	which federal regulations require notice of inmates
370	what is the deputy attorney general's guidance regarding threat against election workers
371	what is the primary objective of the oig audits
372	when are federal agencies due to file a federal sf 425
373	are motorcycles allowed under jag funds
374	what information do you need to report in fsrs
375	cops office community development program
376	how to audit the geographic diversity of an interview
377	what is the name of the program manager for cops
378	when is sf-425 due?
379	what is the minimum amount of time to receive a cops grant
380	who should submit the sole source justification request?
381	when did rodeway inns cancel its territory agreement
382	is government copyrighted material a fair use
383	what is cognizant federal agencies
384	what is the nij bulletproof vest standard
385	cops requirements of tribal resources grant program
386	what is the purpose of a community meeting?
387	what is eic
388	what is an eic
389	which financial institutions may inmates open
390	what is the purpose and purpose of cops
391	define interstate compact on mental health
392	can recess appointments be made by president
393	what is the criteria for eligibility of interoperability
394	what is the federal requirement that a federal employee not take reprisal actions for disclosing misconduct?
395	can you reduce chp grant
396	who has the authority to act on behalf of a limited liability company
397	who signs cops awards
398	what is the role of the oig
399	what is the phone number for cops office
400	can an inmate use a restraint for medical examination
401	when a discovery cannot be marketed without substantial testing and regulatory approval, the clock on his patent term is running even though he is not yet able to derive any profit from the invention.
402	when does the eu's decision enter into force
403	what is the condition of a pass through entity
404	how to claim eeo exemption
405	cost center supervisor for trust fund
406	when is federal reporting form 425 due
407	how long does it take for a cops extension to be granted
408	how long should i have to submit an ffr
409	what is the cops modification request
410	what was clear was that some of the feedstock coal was run through r.
411	when did customs have the exception clause in the reorganization plan
412	which contract provision is required under federal contracting
413	is internet references valid on date of publication
414	cops office progress report phone number
415	debarment, suspension, and other responsibility
416	what should medical records be for inmate
417	does a control room include multiple pods?
418	required number of detainee interviews
419	when did the european parliament make its decision on globalisation
420	when does eu's decision come into force
421	does cops pay for overtime
422	if the recipient drew down excess COPS office funding for indirect costs, the recipient must return the overpayment to cops office in the event of a budget modification.
423	when was the european solidarity fund mobilised
424	what to include with your award
425	when is a trgp grant modification approved
426	why is the reentry programming program important
427	what is climate and culture
428	eu solidarity fund 2015
429	should the european commission promote a strategy to combat unnecessary food waste?
430	community policing definition
431	what is the carryforward period of a trust
432	definition of per unit retain allocations paid in money
433	what is executive privilege relating to dismissal of attorney
434	when a non federal entity must report violations to the federal awarding agency, the federal agency must
435	what is the saa audit objective
436	office of chief counsel internal revenue service memo number
437	who was president of the european parliament?
438	what conditions are needed for macrofinance assistance to ukraine
439	who can access the cops records?
440	can irs conduct checks
441	what is the eu solidarity fund
442	eu solidarity fund
443	when is the deadline for submitting applications
444	what is the federal statute that protects people from voting
445	which eu decision specifically describes the mobilization of the globalisation adjustment fund
446	what to report for compensation in fsrs
447	cops gov contact phone number
448	who signs award document
449	what is cops office
450	which closing agreement settles the treatment of particular losses and credits which petitioners had claimed on their return?
451	cops office grant monitoring telephone number
452	where can you find cop form
453	when an emergency situation results in a use of force, precautions, such as protective clothing and equipment
454	should job descriptions include community policing?
455	which fda approval is more important for generic drugs
456	what is the eu decision on globalisation
457	when is the publication of a decision in the european parliament
458	what is the importance of analysis in solving problems
459	do facilities have to be placed in service
460	what distributions from an able account are taxable
461	can you deduct stock options
462	european parliament 2015/642
463	which government agency can help solve public safety issues
464	what is the contribution of the egf
465	which tiers must disclose lobbying with non federal funds?
466	who is required to provide notice to employers of a convicted employee?
467	when was the european council's decision 2015/601 published
468	when do department have to conduct a census check
469	why is the economic situation of ukraine deteriorating
470	goals of response
471	provisional cost reimbursement
472	what is significant auditing experience
473	indirect cost rate
474	69 federal certifications
475	what is the fsrs?
476	what conditions should be met for ukraine for macro finance assistance
477	does the attorney general have coordination authority
478	what is the maximum amount of financial assistance given to ukraine?
479	ukraine how much financial assistance
480	can a dscc assign state offenses
481	when do i need to file a federal financial report
482	is an intrasession recess period constitutional
483	what is the match fund requirement for chp
484	which bank is the beneficiary of macrofinance assistance?
485	what to do to get pass award
486	what is the cops office monitoring component
487	condition of a trgp award
488	when did the european parliament and of the council take the globalisation adjustment fund decision?
489	when is globalization adjustment fund mobilised for 2015
490	globalisation adjustment fund
491	how long does a victim notification take
492	principal and interest are payable out of what
493	which rule requires a commissioner to serve notice of filing a petition seeking relief from joint and several liability on a non-requesting spouse?
494	which type of referral to the medical designator will indicate the inmate's ihp status?
495	when is this decision published in the official journal of the european union?
496	how is environmental law implemented
497	do you need to submit information a second time under assistance awards
498	why does the us marshals release to custody form need to be used
499	when did the european parliament adopt the globalisation adjustment fund?
500	why did justice o'connor not find the establishment clause of witters v. washington
501	when does european union mobilize globalisation adjustment fund
502	when was the eu's decision 2015/421 published
503	cops award number
504	what is the standard procedures for sexually abusive behavior at all bureau and contract facilities?
505	who was the person with whom the court was most concerned in mississippi valley?
506	when was the european solidarity fund decision issued
507	what is the eu decision 2015/422
508	what is the foreign base company's sales income?
509	what is the role of a kic in the supply chain
510	what agency is responsible for implementing a modified award of funds
511	what is the special condition for a computer grant
512	when was the european globalisation adjustment fund created
513	provisional rate definition
514	is a state employee considered a consultant for a local government
515	is the tribal resources grant program a mandatory disclosure?
516	cpd program
517	what is the eu decision for ukraine?
518	ukraine decision financial
519	citibank ach account number
520	which opinion is critical to the responsible fulfillment of the committee's functions?
521	________.doj will be in contact with a state or territory for additional information.
522	what documents are inmates central files
523	how does the Commission's macro-financial assistance
524	cops grant monitoring division number
525	how many days do cops have to submit ahtf award
526	cops anti-methamphetamine program phone number
527	what is nida contract
528	what is the precondition for macrofinancial assistance in ukraine
529	which condition is a precondition for granting macrofinancial assistance to ukraine?
530	what conditions do you need for a cops award
531	can cops award camp
532	irs memo number
533	what is specialized staff interview
534	why is an inmate challenged on central files?
535	what type of penological interest is preventing inmate use of illicit substances?
536	cops office stop school violence prevention award
537	why are crime triangles useful
538	are circular audits permissible
539	euratom regulation on financial interests
540	who can obligate or expend award funds
541	what is the purpose of coastal zone management act
542	what is community policing strategy
543	what is primary law enforcement authority of cops?
544	step transaction doctrine definition
545	cops office award number
546	what is the role of the office of government ethics in the smithsonian
547	what are the requirements for determining a contribution from the egf
548	what is greece's contribution to egf?
549	what is the award condition for pass programs
550	why do auditors need to keep notes
551	when was the european globalisation and adjustment fund established
552	how does the european commission monitor financial arrangements with georgia
553	can a merchant contract be a capital asset if it is not goodwill
554	what amendment did not have deadlines
555	when should the guarantee fund for external action be established?
556	what is the european globalization adjustment fund?
557	how do you dispose of equipment for cops
558	egf financial contribution requirement
559	how much does egf contribute
560	cops office closeout number
561	cfda office ahtf number
562	are subrecipients required to use federal funding in the best interest of their award program.
563	can an additional to tax be assessed
564	which clause of the constitution provides that the senate have the authority to make recess appointments?
565	why would retail inventory be used
566	what is site visit on cops awards
567	what does the applicant understand pertaining to the federal statutes and regulations
568	when does a religious nonprofit require equal treatment?
569	what is the effect of the doj appropriations rider
570	egf mobilised
571	egf is mobilised
572	when was the european globalisation adjustment fund established
573	when will cops office grant award be extended
574	what amount for egf
575	what is a registered tax preparer
576	what is a taxpayer clinic
577	internal revenue service internal service memorandum release date
578	is certification a material representation of fact
579	are reimbursements part of spinoff
580	when do you report subrecipient compensation
581	how long do you have to draw down a reimbursement
582	what is the computing device
583	when was single audit act created
584	what is the purpose of the european solidarity fund?
585	what is the date of the eu solidarity fund decision?
586	when are federal financial reports due
587	when required to report a violation to the federal awarding agency, the non-federal entity must _____.
588	who is authorized official
589	eu globalisation adjustment fund
590	what document is needed to prove employment eligibility
591	ORI number
592	egf maximum amount
593	where can i file my cops program progress report
594	if a trader is engaged in the business of buying and selling securities,
595	what is the purpose of the cops awards
596	what is above market earnings on deferred compensation which is not tax-qualified?
597	why are cops certifications required
598	what documents are included in the schedule provided to the irs
599	why should the eib reflow the guarantee fund
600	which eu decision is the contribution of the eit to a more innovative europe
601	why a financial intermediary should be considered eib
602	how to use an cops office trgp award
603	what are the general objectives of eib
604	do i need a conflict of interest disclosure form prior to commencing work and i need to approve it
605	what is indirect costs
606	what records must be kept for cpd awards
607	how to use svpp award
608	how to submit annual report online
609	what is the function of the staff psychologist
610	what section of the drug act provides for attorney general's exclusive power to seize and forfeit property?
611	should eib finance
612	eib financial policies
613	who is responsible for implementing the eib's policies?
614	why is the eib responsible for international tax fraud
615	irs memorandum release date
616	who is required to submit a conflict of interest disclosure form to the cops office?
617	can a closing agreement apply to taxpayers
618	when it is determined that the substance of the advances are equity
619	which statement is required for a drug free workplace
620	is us income tax payable from us permanent establishment
621	what is the purpose of technical operational guidelines eib
622	what is the technical operational guidelines for eib financing
623	who is final beneficiary of the kyrgyz union funds
624	does eib finance regional cooperation
625	what is the allocation policy?
626	can anda be transferred
627	why do auditors retain personnel records
628	do grants require separate bank accounts
629	what condition is required for a pass through entity
630	what should be reported on the final report
631	when a patent is placed in service what is it subject to?
632	what is allowable cost in cops
633	can a delegation of power referred to in article 4 be revoked?
634	what is the condition for chp funds
635	irs memo release date and number
636	why is cops required to monitor programs
637	when were on the spot checks and inspections required
638	what is the purpose of a problem analysis
639	which of the following would establish the office of the congressional lawyer?
640	unliquidated obligations definition
641	who assigns the ojp vendor number to the federal revenue service
642	dc department of justice office on violence against women
643	which circuit denied the existence of a right
644	what should a signature line for a form 870-lt be
645	what was the european policy for a new partnership with central asia?
646	when do you submit a no cost time extension request
647	cognizant federal agency for indirect costs definition
648	eu action for culture
649	what is air commerce
650	what is the eu biodiversity strategy
651	what is the active marketing exception
652	should a city have a title to promote cultural activity?
653	define institution of higher education
654	who has to have saa audits
655	can resident contribute to contract per diem if not employed
656	how to set up an expert panel
657	us dept of justice civil rights office phone number
658	deadline for applications
659	what type of trip is medical escorted
660	when is call for applications published in the official journal of the european union
661	when does a call for submission of an application for the european union come out
662	what is deadline of call for applications
663	does cops allow fringe benefits
664	when inmate is pending investigation or disciplinary action
665	how often can reimbursement be requested
666	what to report for each obligating action
667	what is the proper form for a tmp
668	when a city is awarded a title of a designated city, the commitments made at the application stage shall be deemed to have been honoured by the designated city when
669	when are commitments made at the application stage of the title honoured by the designated city?
670	why was the speech or debate clause implicated in browning
671	what executive order requires equal treatment of religious organizations in the funding process?
672	does congress want to award fees in osha adjudications against the secretary of labor
673	what is the date of the decision on the european year for development?
674	why eit is important
675	can a federal government award an advance
676	cops training
677	what is the drug laws for petitions for religious exemption
678	requirements for interjurisdictional criminal intelligence system
679	irs memo release number
680	when is the appropriate year to present the results of the development policy of the Union
681	which federal agency requires new drugs to be approved for market
682	which policy is a fundamental prerequisite for an effective european year?
683	how is reasonable suspicion tested
684	when are contractors required to pay wages
685	when are audit reports due
686	health plan definition
687	which article outlines the measures adopted by the european year?
688	what conditions apply to the cops program?
689	internal revenue service memorandum release number
690	which regulation is responsible for coordination of external action at the european level
691	what is community partnerships
692	what is the purpose of operating principles for interjuridictional criminal information systems?
693	when do you have to renew your social security number
694	when does a european decision enter into force?
695	when does this decision into force
696	what is the edc code used for
697	how to add chp number to cops
698	does company a's execution of lt form bind its indirect partners?
699	when was globalisation adjustment fund created
700	what is the confinement for smu inmates
701	how do funds need to be used better
702	what are litcs
703	what is the taxpayer accounting method for gift cards
704	cops grant program specialist telephone number
705	what is the status of programs progress report submitted to cops?
706	how many days do you need to sign an award document
707	what are principles for interjurisdictional criminal systems
708	what is match used for
709	hold on civil rights award
710	ach enrollment form phone number
711	what is the long-term vision for the Union
712	what is the long term vision of the european union
713	sf-425 federal financial report phone number phone number
714	can a federal award be terminated
715	who is exempt from eeop
716	why should community policing be included in the recruiting process
717	what was the 7th environment action programme
718	what is a priority of the environmental action program
719	what is the aim of the 7th environment action programme
720	cops telephone number
721	why is the environment of the union desirable for citizens?
722	what to do if a inmate has no documentation
723	why are there challenges and uncertainties in the world's economy and society.
724	what is the acceptable documentation for an inmate request
725	what to do when a camp award is accepted
726	forced cell move training
727	what is general program fund collateral account
728	how the green economy is transformed
729	why should the environment policy be made public
730	definition of computing devices
731	what is oig
732	why are indirect costs distributed
733	what is the role of agriculture and forestry in the forestry sector in europe
734	what is the cops office - stop school violence award for?
735	what are the five steps of addie
736	what is a performance timeline for all deliverables (based upon an award date of xxxxx)?
737	which criteria are used in the evaluation of the offers received?
738	did the irs give notice of the innocent spouse proceeding
739	do recess appointments interrupt senate recess
740	how will the EU contribute to the reduction of greenhouse gas emissions?
741	what is the purpose of administrative simplification of hipaa
742	which measures are required to improve environmental sustainability?
743	egf should be mobilised in order to provide a financially contributed for the application submitted by spain
744	how do we combat food waste and reduce food waste
745	what is the macrofinance provided for in the multiannual financial framework
746	what measures should be taken to ensure recycling in the internal market
747	cops grant program contact number
748	define indirect costs
749	what is standby letter of credit
750	why does the eu send evaluation reports
751	are incurred expenses reimbursed by the recipient?
752	cost for failure to implement legislation
753	how to enforce executive agency order
754	what is the allowable cost of a project
755	what regulations are required for an saa audit
756	is the taxpayer protected claim valid
757	what is the federal statutes and regulations
758	who is the authorized official of the department of justice
759	what is allocable costs
760	globalisation and the european budget 2012/683/
761	what is full-time job status
762	can auditor access personnel
763	what is the term of a member of the mississippi river commission
764	which information you must report on a proceeding
765	which agency may reprogram its budget
766	what is sole source justification
767	what is a indirect cost rate
768	why are award audited
769	how to earn awards in inmate
770	what is the cops equal employment opportunity plan
771	how does sustainability develop
772	what is the role of regional and local authorities in the implementation of sustainable development
773	what is the purpose of a cops site visit
774	what type of event do not require prior approval
775	do eeops require hiring
776	when does corrections staff use calculated or immediate force procedures
777	what does the word and mean
778	where did toscanino get kidnapped
779	what is cops training
780	how far in advance do you have to submit a request for conference approval?
781	us department of education and justice
782	what type of executive do i have to sign an award document
783	how does community policing affect the government
784	what is the intent of section 631 of the usda
785	when is a federal financial report needed
786	what is ojp vendor number
787	what is addie model in instructional design
788	how to report camp award
789	what is ancr referral
790	what is the department of justice certifications regarding lobbying
791	computing devices definition
792	what is the objective of inspector general audits?
793	ahtf progress report usdoj
794	what is the cops office svpp award ?
795	when did office of legal counsel rule on one trip to be paid for twice
796	provisional cost definition
797	why is it important to comply with civil rights laws
798	who is trust fund supervisor
799	why are psychological records important
800	who must provide access to client records
801	how do i expect to be audited as an oig
802	who approves an award in cops
803	how long do i need to audit COPS grants
804	what is rental cost allowable
805	what is the trauma in life workshop
806	do trgp grant requirements require approval by cops?
807	what is purpose of saa audit
808	which federal agency provides government with the most federal money
809	eit kics
810	which is the precondition for granting the unions macro-financial assistance should be:
811	executive order 12291 regulation
812	which contracts qualify for favorable tax treatment
813	community policing philosophy
814	what is the purpose of continuing education presentations?
815	how much do the Union provide for jordan
816	which states have an agreement with miami university
817	which federal award is subject to copyright
818	how do i report total compensation on my fsrs
819	when can a inmate be dismissed from the fpi
820	when can a taxpayer fail to recognize an iap
821	why is it important to have an organization that ensures that local police officers have decision making authority
822	what is the drug market intervention strategy
823	when are sf 425 finals due
824	what is the main driver of learning for eit level
825	how to use program income for cost sharing?
826	what is the purpose of the eobgr
827	which of the following expressly provides that it shall not govern the donation of personal services?
828	when is eu decision published
829	which court held that the regulation is valid because it is not manifestly contrary to section 267(a)(3)?
830	what is the investigative authority of the general accounting office
831	what level is eit
832	why is patronage sourced income not taxed
833	what is the procedure for an alleged inmate
834	if a request for waiver is approved
835	is the secret service authorized by law
836	how much of a kic's budget should it come from?
837	what is the minimum eit percentage for kic
838	how soon is a quarterly report due
839	what is the role of a treatment coordinator in a psychology
840	can a store deduct gift checks
841	what is performance timeline for deliverables
842	how to dismiss inmates at fpi
843	what is the contact number for the cops program specialist
844	what is pattern of conduct
845	when to maintain adequate records for award expenditures
846	when is total compensation of subrecipient reportable
847	when is an sf 425 required
848	what is oig audit?
849	what type of authority does the president have to settle the iran crisis
850	why are food systems unsustainable
851	what are the problems with global food production system
852	when was the eu globalisation adjustment fund created
853	is the closing agreement subject to joint committee review?
854	what is addies training process
855	what is community policing in police departments
